Date/Time,LV ActivePower (kW),Wind Speed (m/s),Wind Direction (°),Theoretical_Power_Curve (KWh),
01 01 2018 00:00,380.0477905,5.31133604,259.9949036,416.3289078,
01 01 2018 00:10,453.7691956,5.672166824,268.6411133,519.9175111,
01 01 2018 00:20,306.3765869,5.216036797,272.5647888,390.9000158,
01 01 2018 00:30,419.6459045,5.659674168,271.2580872,516.127569,
01 01 2018 00:40,380.6506958,5.577940941,265.6742859,491.702972,
01 01 2018 00:50,402.3919983,5.604052067,264.5786133,499.436385,
01 01 2018 01:00,447.6057129,5.793007851,266.1636047,557.3723633,
01 01 2018 01:10,387.2421875,5.306049824,257.9494934,414.8981788,
01 01 2018 01:20,463.6512146,5.584629059,253.4806976,493.6776521,
01 01 2018 01:30,439.725708,5.523228168,258.7237854,475.7067828,
01 01 2018 01:40,498.1817017,5.724115849,251.8509979,535.841397,
01 01 2018 01:50,526.8162231,5.934198856,265.5046997,603.0140765,-
01 01 2018 02:00,710.5872803,6.547413826,274.2329102,824.6625136,
01 01 2018 02:10,655.1942749,6.199746132,266.7331848,693.4726411,
01 01 2018 02:20,754.7625122,6.505383015,266.7604065,808.0981385,
01 01 2018 02:30,790.1732788,6.634116173,270.4931946,859.4590208,
01 01 2018 02:40,742.9852905,6.378912926,266.5932922,759.4345366,
01 01 2018 02:50,748.2296143,6.446652889,265.5718079,785.2810099,
01 01 2018 03:00,736.6478271,6.415082932,261.1586914,773.1728635,
01 01 2018 03:10,787.2462158,6.437530994,257.5602112,781.7712157,
01 01 2018 03:20,722.8640747,6.220024109,255.9264984,700.7646999,
01 01 2018 03:30,935.0333862,6.89802599,250.0128937,970.7366269,
01 01 2018 03:40,1220.609009,7.60971117,255.9857025,1315.048928,
01 01 2018 03:50,1053.771973,7.288355827,255.4445953,1151.265744,
01 01 2018 04:00,1493.807983,7.943101883,256.4074097,1497.583724,
01 01 2018 04:10,1724.488037,8.376161575,252.4125977,1752.199662,
01 01 2018 04:20,1636.935059,8.23695755,247.9794006,1668.470707,
01 01 2018 04:30,1385.488037,7.879590988,238.6096039,1461.815791,
01 01 2018 04:40,1098.932007,7.101376057,245.0955963,1062.285034,
01 01 2018 04:50,1021.458008,6.955307007,245.410202,995.9958546,
01 01 2018 05:00,1164.892944,7.098298073,235.2279053,1060.859712,
01 01 2018 05:10,1073.332031,6.953630924,242.8726959,995.2509608,
01 01 2018 05:20,1165.307983,7.249577999,244.8356934,1132.416861,
01 01 2018 05:30,1177.98999,7.294691086,242.4815979,1154.365305,
01 01 2018 05:40,1170.536011,7.376369953,247.9772034,1194.843099,
01 01 2018 05:50,1145.536011,7.448554039,249.6829987,1231.430706,
01 01 2018 06:00,1114.026978,7.23925209,248.401001,1127.433206,
01 01 2018 06:10,1153.185059,7.329211235,244.6217041,1171.355044,
01 01 2018 06:20,1125.331055,7.139705181,244.6318054,1080.139085,
01 01 2018 06:30,1228.732056,7.474228859,245.7859955,1244.633534,
01 01 2018 06:40,1021.79303,7.033174038,248.6522064,1030.992686,
01 01 2018 06:50,957.3781738,6.886455059,244.6116943,965.6833344,
01 01 2018 07:00,909.8878174,6.887821198,235.8482971,966.2791049,
01 01 2018 07:10,1000.953979,7.216432095,232.8426971,1116.471899,
01 01 2018 07:20,1024.478027,7.068597794,229.933197,1047.170231,
01 01 2018 07:30,1009.533997,6.938295841,230.1367035,988.4519407,
01 01 2018 07:40,899.492981,6.536687851,234.9338074,820.4166586,
01 01 2018 07:50,725.1101074,6.180624962,232.8379059,686.6369422,
01 01 2018 08:00,585.2593994,5.816825867,240.3287964,564.9276595,
01 01 2018 08:10,443.9139099,5.450150967,238.126297,454.7735871,
01 01 2018 08:20,565.2537842,5.81814909,235.800293,565.3490932,
01 01 2018 08:30,644.0377808,6.130272865,224.9586945,668.8235693,
01 01 2018 08:40,712.0588989,6.347077847,216.803894,747.4606734,
01 01 2018 08:50,737.3947754,6.347436905,205.7852936,747.5951091,
01 01 2018 09:00,725.868103,6.194368839,199.8484955,691.5463343,
01 01 2018 09:10,408.997406,4.977198124,207.9978027,330.4176304,
01 01 2018 09:20,628.4368286,5.959111214,210.954895,611.2838365,
01 01 2018 09:30,716.1005859,6.21137619,215.6940002,697.6494744,
01 01 2018 09:40,711.4956055,6.111453056,220.8426056,662.235163,
01 01 2018 09:50,838.1519165,6.456322193,237.0653076,789.0114224,
01 01 2018 10:00,881.0620728,6.666657925,235.6674957,872.7396259,
01 01 2018 10:10,663.703125,6.16287899,229.3296967,680.3278917,
01 01 2018 10:20,578.2615967,6.013167858,234.9006042,628.4425608,
01 01 2018 10:30,465.6200867,5.561203003,230.4228058,486.7795676,
01 01 2018 10:40,311.0509033,4.960731983,229.5375061,326.4110254,
01 01 2018 10:50,230.0554962,4.60387516,231.7984924,244.3162442,
01 01 2018 11:00,233.9906006,4.554533958,234.1056061,233.6327805,
01 01 2018 11:10,175.5921936,4.26362896,228.7767029,173.5736631,
01 01 2018 11:20,118.1331024,3.894139051,227.9389954,108.5712211,
01 01 2018 11:30,142.2024994,4.038761139,224.4649963,130.2299896,
01 01 2018 11:40,212.5661926,4.505650997,224.9505005,223.1967841,
01 01 2018 11:50,222.6100006,4.543397903,229.127594,231.2425073,
01 01 2018 12:00,194.1811981,4.323760986,227.0399933,185.5984796,
01 01 2018 12:10,82.64074707,3.634437084,230.3146057,68.5028198,
01 01 2018 12:20,75.8952179,3.705512047,233.9532928,78.39616535,
01 01 2018 12:30,41.94723892,3.253968,233.0659027,29.28695563,
01 01 2018 12:40,118.5345993,3.775136948,227.7534943,88.87136533,
01 01 2018 12:50,250.7559052,4.693500996,229.8966064,264.1192574,
01 01 2018 13:00,346.8644104,5.002939224,235.2794952,336.7219982,
01 01 2018 13:10,416.4179077,5.364749908,235.5852966,430.921089,
01 01 2018 13:20,331.9414978,5.016181946,229.9429016,339.9849402,
01 01 2018 13:30,583.4799194,5.970407963,235.6952972,615.0556308,
01 01 2018 13:40,776.5526733,6.655520916,241.4573975,868.1808449,
01 01 2018 13:50,752.7263794,6.600903988,242.7821045,846.0294095,
01 01 2018 14:00,589.0731201,5.981378078,234.9844055,618.7314427,
01 01 2018 14:10,1109.128052,7.424593925,235.1472931,1219.199787,
